name,dateissue,Value
????,14010712,380349
????,14010711,381113
????,14010710,382112
????,14010709,386137
????,14010706,392498
????,14010704,388031
????,14010702,386517
????,14010630,395678
????,14010629,397910
????,14010628,400212
????,14010627,401910
????,14010623,404890
????,14010622,405256
????,14010621,402482
????,14010620,403025
????,14010619,405569
????,14010616,410325
????,14010615,410775
????,14010614,410375
????,14010613,408925
????,14010612,407973
????,14010609,411899
????,14010608,410776
????,14010607,410633
????,14010606,408557
????,14010605,410327
????,14010602,408250
????,14010601,402325
????,14010531,397296
????,14010530,396524
????,14010529,397411
????,14010526,399078
????,14010525,398623
????,14010524,397227
????,14010523,395447
????,14010522,395884
????,14010519,389602
????,14010518,390944
????,14010515,390143
????,14010512,384055
????,14010511,380589
????,14010510,380362
????,14010509,379976
????,14010508,387217
????,14010505,389468
????,14010504,388301
????,14010503,391131
????,14010502,400033
????,14010501,404485
????,14010429,403781
????,14010428,401677
????,14010426,402434
????,14010425,405576
????,14010422,407012
????,14010421,405474
????,14010420,409559
????,14010418,415830
????,14010415,418519
????,14010414,420976
????,14010413,420652
????,14010412,418365
????,14010411,417203
????,14010408,421481
????,14010407,421093
????,14010406,417294
????,14010405,417683
????,14010404,422660
????,14010401,422292
????,14010331,423457
????,14010330,426584
????,14010329,425360
????,14010328,425182
????,14010325,428932
????,14010324,429930
????,14010323,429160
????,14010322,421421
????,14010321,419866
????,14010318,421401
????,14010317,419065
????,14010316,420006
????,14010311,429657
????,14010310,428321
????,14010309,425199
????,14010308,424848
????,14010307,432542
????,14010304,436794
????,14010303,431228
????,14010302,432772
????,14010301,441505
????,14010231,440177
????,14010228,442623
????,14010227,447809
????,14010226,449224
????,14010225,444972
????,14010224,444647
????,14010221,438409
????,14010220,428869
????,14010219,426792
????,14010218,429011
????,14010217,426318
????,14010212,422473
????,14010211,419110
????,14010210,415106
????,14010207,411626
????,14010206,410312
????,14010205,405513
????,14010204,402405
????,14010131,401430
????,14010130,400575
????,14010129,397775
????,14010128,390986
????,14010127,387646
????,14010124,382964
????,14010123,380293
????,14010122,387041
????,14010121,383496
????,14010120,378075
????,14010117,377347
????,14010116,375828
????,14010115,373265
????,14010114,372703
????,14010110,365903
????,14010109,362926
????,14010108,360439
????,14010107,353577
????,14010106,350545
????,14001228,348268
????,14001225,342797
????,14001224,340174
????,14001223,338955
????,14001222,338735
????,14001221,339096
????,14001218,342690
????,14001217,340337
????,14001216,341512
????,14001215,338671
????,14001214,335801
????,14001211,334162
????,14001209,333947
????,14001208,330799
????,14001207,329517
????,14001204,330307
????,14001203,328659
????,14001202,327881
????,14001201,324426
????,14001130,325088
????,14001127,325282
????,14001125,325501
????,14001124,324862
????,14001123,326289
????,14001120,326248
????,14001119,325620
????,14001118,323987
????,14001117,326499
????,14001116,332709
????,14001113,333018
????,14001112,333280
????,14001111,330729
????,14001110,327759
????,14001109,325135
????,14001106,318756
????,14001105,317067
????,14001104,323974
????,14001103,328246
????,14001102,334189
????,14001029,335639
????,14001028,337029
????,14001027,345084
????,14001026,346479
????,14001025,350193
????,14001022,353768
????,14001021,353412
????,14001020,352111
????,14001019,353203
????,14001018,359138
????,14001015,359472
????,14001014,359982
????,14001013,363244
????,14001012,363519
????,14001011,363469
????,14001008,368099
????,14001007,367359
????,14001006,365384
????,14001005,360267
????,14001004,361907
????,14001001,357765
????,14000930,348209
????,14000929,343902
????,14000928,343495
????,14000927,346977
????,14000924,344509
????,14000923,345466
????,14000922,349198
????,14000921,355617
????,14000920,361495
????,14000917,363590
????,14000916,361141
????,14000915,363776
????,14000914,363342
????,14000913,362917
????,14000910,367561
????,14000909,372495
????,14000908,374175
????,14000907,374989
????,14000906,376895
????,14000903,383470
????,14000902,385041
????,14000901,386933
????,14000830,383326
????,14000829,383526
????,14000826,386764
????,14000825,383949
????,14000824,384875
????,14000823,388999
????,14000822,387950
????,14000819,391284
????,14000818,385771
????,14000817,384929
????,14000816,384692
????,14000815,386254
????,14000812,374341
????,14000811,366626
????,14000810,363104
????,14000809,359983
????,14000808,370424
????,14000805,376470
????,14000804,376519
????,14000803,380158
????,14000801,388084
????,14000728,397262
????,14000727,398346
????,14000726,393967
????,14000725,398310
????,14000724,402171
????,14000721,392777
????,14000720,401567
????,14000719,413758
????,14000718,414686
????,14000717,420580
????,14000714,427286
????,14000712,425492
????,14000711,422575
????,14000710,424827
????,14000707,420794
????,14000706,419549
????,14000704,420959
????,14000703,422943
????,14000631,415499
????,14000630,421518
????,14000629,432610
????,14000628,431015
????,14000627,439940
????,14000624,450466
????,14000623,451909
????,14000622,444002
????,14000621,450065
????,14000620,463345
????,14000617,466098
????,14000616,465347
????,14000615,469607
????,14000614,467022
????,14000613,464430
????,14000610,455372
????,14000609,446893
????,14000608,454359
????,14000607,467510
????,14000606,467506
????,14000603,456358
????,14000602,451219
????,14000601,440137
????,14000531,436030
????,14000524,428318
????,14000523,422689
????,14000520,422339
????,14000519,418168
????,14000518,412748
????,14000517,407790
????,14000516,404255
????,14000513,403254
????,14000512,400689
????,14000511,400920
????,14000510,402046
????,14000509,400919
????,14000506,396746
????,14000505,397903
????,14000504,404052
????,14000428,403073
????,14000427,400327
????,14000426,402587
????,14000423,401611
????,14000422,400341
????,14000421,400653
????,14000420,397600
????,14000419,392486
????,14000416,392585
????,14000415,391623
????,14000414,386469
????,14000413,382081
????,14000412,382850
????,14000409,384178
????,14000408,382529
????,14000407,382248
????,14000406,382367
????,14000405,380908
????,14000402,376880
????,14000401,373186
????,14000331,370028
????,14000330,369888
????,14000329,370801
????,14000326,370588
????,14000325,373371
????,14000324,376321
????,14000323,377229
????,14000322,378454
????,14000319,380746
????,14000318,383949
????,14000317,383826
????,14000312,382037
????,14000311,381376
????,14000310,382997
????,14000309,385531
????,14000308,385630
????,14000305,383150
????,14000304,382842
????,14000303,383220
????,14000302,388217
????,14000301,392154
????,14000229,396983
????,14000228,402817
????,14000227,406579
????,14000226,410710
????,14000225,414908
????,14000222,417870
????,14000221,419255
????,14000220,419064
????,14000219,420818
????,14000218,422018
????,14000215,422855
????,14000213,423026
????,14000212,424485
????,14000211,425679
????,14000208,427272
????,14000207,427463
????,14000206,427282
????,14000205,428142
????,14000204,429074
????,14000201,430077
????,14000131,431683
????,14000130,431772
????,14000129,432465
????,14000128,433360
????,14000125,434458
????,14000124,435244
????,14000123,434721
????,14000122,435371
????,14000121,436190
????,14000118,437114
????,14000117,438372
????,14000116,438977
????,14000115,439920
????,14000114,441120
????,14000111,442648
????,14000110,442839
????,14000108,442552
????,14000107,441834
????,13991227,439801
????,13991226,437932
????,13991225,434839
????,13991224,434291
????,13991223,433259
????,13991220,431823
????,13991219,432348
????,13991218,432050
????,13991217,430857
????,13991216,430943
????,13991213,431264
????,13991212,431632
????,13991211,431425
????,13991210,432391
????,13991209,433401
????,13991206,434396
????,13991205,435105
????,13991204,436093
????,13991203,437171
????,13991202,438323
????,13991129,438957
????,13991128,438034
????,13991127,437231
????,13991126,437102
????,13991125,435624
????,13991121,423059
????,13991120,420093
????,13991119,420969
????,13991118,415984
????,13991115,423148
????,13991114,427564
????,13991113,429628
????,13991112,431537
????,13991111,431968
????,13991108,424623
????,13991107,426870
????,13991106,432430
????,13991105,437572
????,13991104,440387
????,13991101,433130
????,13991030,430423
????,13991029,436883
????,13991027,444500
????,13991024,454819
????,13991023,463192
????,13991022,469359
????,13991021,466652
????,13991020,459810
????,13991017,460570
????,13991016,465381
????,13991015,462482
????,13991014,455700
????,13991013,455170
????,13991010,463708
????,13991009,465434
????,13991008,469139
????,13991007,472136
????,13991006,473424
????,13991003,468508
????,13991002,460404
????,13991001,452422
????,13990930,447838
????,13990929,445249
????,13990926,436394
????,13990925,441148
????,13990924,451888
????,13990923,456252
????,13990922,457131
????,13990919,450995
????,13990918,444393
????,13990917,442736
????,13990916,442082
????,13990915,431865
????,13990912,423167
????,13990911,419885
????,13990910,417792
????,13990909,410845
????,13990908,401530
????,13990905,395131
????,13990904,390577
????,13990903,387607
????,13990902,382691
????,13990901,383572
????,13990828,381274
????,13990827,374670
????,13990826,370149
????,13990825,369605
????,13990824,369533
????,13990821,365004
????,13990820,364884
????,13990819,366080
????,13990818,368874
????,13990817,371574
????,13990814,374884
????,13990812,372709
????,13990811,374939
????,13990810,378322
????,13990807,376969
????,13990806,380152
????,13990805,384337
????,13990803,389121
????,13990730,393880
????,13990729,394947
????,13990728,400650
????,13990727,406438
????,13990723,411957
????,13990722,414394
????,13990721,416438
????,13990720,418985
????,13990719,410513
????,13990716,407197
????,13990715,402125
????,13990714,396766
????,13990713,398704
????,13990712,400667
????,13990709,397574
????,13990708,398395
????,13990707,402262
????,13990706,407651
????,13990705,412469
