name,dateissue,Value
????,14010902,1059290
????,14010901,1056450
????,14010830,1057670
????,14010829,1053280
????,14010828,1042600
????,14010825,1062510
????,14010824,1060590
????,14010823,1059370
????,14010822,1070020
????,14010821,1077530
????,14010818,1067250
????,14010817,1061000
????,14010816,1047140
????,14010815,1006940
????,14010814,990439
????,14010811,949605
????,14010810,945767
????,14010809,937154
????,14010808,926875
????,14010807,914808
????,14010804,909257
????,14010803,932736
????,14010802,943293
????,14010801,962005
????,14010730,972288
????,14010727,975502
????,14010726,979083
????,14010725,978467
????,14010724,978825
????,14010723,984861
????,14010720,986684
????,14010719,981052
????,14010718,971974
????,14010717,971350
????,14010716,980564
????,14010712,976136
????,14010711,976916
????,14010710,976664
????,14010709,983279
????,14010706,1000300
????,14010704,989288
????,14010702,983753
????,14010630,1007400
????,14010629,1017420
????,14010628,1024300
????,14010627,1027690
????,14010623,1037220
????,14010622,1039300
????,14010621,1033840
????,14010620,1034320
????,14010619,1039250
????,14010616,1052230
????,14010615,1060050
????,14010614,1065060
????,14010613,1065810
????,14010612,1066500
????,14010609,1078690
????,14010608,1080440
????,14010607,1085880
????,14010606,1085330
????,14010605,1090270
????,14010602,1082510
????,14010601,1072970
????,14010531,1067540
????,14010530,1075540
????,14010529,1084570
????,14010526,1094970
????,14010525,1100750
????,14010524,1104690
????,14010523,1105090
????,14010522,1106880
????,14010519,1087570
????,14010518,1090280
????,14010515,1085320
????,14010512,1075610
????,14010511,1070110
????,14010510,1068450
????,14010509,1065480
????,14010508,1080330
????,14010505,1083470
????,14010504,1078630
????,14010503,1081000
????,14010502,1101980
????,14010501,1109060
????,14010429,1109050
????,14010428,1107650
????,14010426,1110000
????,14010425,1117600
????,14010422,1125610
????,14010421,1118860
????,14010420,1121170
????,14010418,1127920
????,14010415,1130470
????,14010414,1137680
????,14010413,1134130
????,14010412,1131270
????,14010411,1132670
????,14010408,1144040
????,14010407,1145090
????,14010406,1137660
????,14010405,1135610
????,14010404,1152160
????,14010401,1163140
????,14010331,1167450
????,14010330,1174120
????,14010329,1173750
????,14010328,1174900
????,14010325,1185990
????,14010324,1195990
????,14010323,1195970
????,14010322,1164810
????,14010321,1153590
????,14010318,1155830
????,14010317,1152900
????,14010316,1151810
????,14010311,1178320
????,14010310,1178050
????,14010309,1174040
????,14010308,1172210
????,14010307,1191540
????,14010304,1201590
????,14010303,1195530
????,14010302,1197290
????,14010301,1221230
????,14010231,1219640
????,14010228,1230810
????,14010227,1239910
????,14010226,1220170
????,14010225,1208200
????,14010224,1213640
????,14010221,1203360
????,14010220,1181990
????,14010219,1183900
