name,dateissue,Value
????,14010804,68236.1
????,14010803,69722.4
????,14010802,70208.2
????,14010801,71598.8
????,14010730,72577.4
????,14010727,72477.1
????,14010726,72715
????,14010725,72571.7
????,14010724,72423.3
????,14010723,72830.5
????,14010720,73072.1
????,14010719,72630.8
????,14010718,71815.1
????,14010717,71687.7
????,14010716,72151.2
????,14010712,71829.3
????,14010711,72032.3
????,14010710,72092.9
????,14010709,72640.2
????,14010706,73694.4
????,14010704,72693.6
????,14010702,72229.9
????,14010630,73960.4
????,14010629,74823.3
????,14010628,75240.3
????,14010627,75423.4
????,14010623,76227.9
????,14010622,76542
????,14010621,76220.8
????,14010620,76224.7
????,14010619,76549.3
????,14010616,77453.9
????,14010615,78057.6
????,14010614,78609.2
????,14010613,78675.7
????,14010612,78700.6
????,14010609,79538.3
????,14010608,79765.4
????,14010607,80049.6
????,14010606,80192.1
????,14010605,80742
????,14010602,80236.6
????,14010601,79482.2
????,14010531,79223.3
????,14010530,79801.6
????,14010529,80528.1
????,14010526,81368.1
????,14010525,82072.8
????,14010524,82607.5
????,14010523,82795.4
????,14010522,83050.8
????,14010519,81641.3
????,14010518,81809.9
????,14010515,81435.3
????,14010512,80894.4
????,14010511,80492.6
????,14010510,80259.3
????,14010509,79906.6
????,14010508,80736.3
????,14010505,80804
????,14010504,80353.7
????,14010503,80351.4
????,14010502,81831.5
????,14010501,81832
????,14010429,81744.3
????,14010428,81684
????,14010426,81776
????,14010425,82389.1
????,14010422,83175.1
????,14010421,82518.2
????,14010420,82656.9
????,14010418,83282.3
????,14010415,83472.9
????,14010414,84106
????,14010413,83564.2
????,14010412,83385
????,14010411,83421.9
????,14010408,84368.2
????,14010407,84581.1
????,14010406,83876.4
????,14010405,83615.9
????,14010404,84974.9
????,14010401,86156.4
????,14010331,86670.7
????,14010330,87213.8
????,14010329,87215.5
????,14010328,87437.6
????,14010325,88125.1
????,14010324,88922.5
????,14010323,88979.3
????,14010322,86428.1
????,14010321,85156.1
????,14010318,85219
????,14010317,84969.7
????,14010316,84793.1
????,14010311,86729.9
????,14010310,86843.2
????,14010309,86374
????,14010308,86164.5
????,14010307,87403.8
????,14010304,87991.2
????,14010303,87594
????,14010302,87729.2
????,14010301,89213.9
????,14010231,89070.3
????,14010228,89915.2
????,14010227,90669.3
????,14010226,89025.7
????,14010225,88376
????,14010224,89092
????,14010221,88489
????,14010220,87132.9
????,14010219,87484.9
????,14010218,88609
????,14010217,88135
????,14010212,87019.8
????,14010211,86535.5
????,14010210,86694.1
????,14010207,86758.9
????,14010206,86957.5
????,14010205,85910.1
????,14010204,85677.3
????,14010131,86550.3
????,14010130,86634.2
????,14010129,85557.3
????,14010128,84087.9
????,14010127,83867.5
????,14010124,83083.4
????,14010123,82361.1
????,14010122,84923.5
????,14010121,84776.5
????,14010120,83890
????,14010117,84613.6
????,14010116,85662.1
????,14010115,85561
????,14010114,84835.1
????,14010110,82666.2
????,14010109,81324.1
????,14010108,82156
????,14010107,81657.1
????,14010106,80711.1
????,14001228,78494.6
????,14001225,76847.1
????,14001224,76405.5
????,14001223,76383.3
????,14001222,76362.7
????,14001221,76036.8
????,14001218,77347.2
????,14001217,76362.1
????,14001216,76786.2
????,14001215,75247.8
????,14001214,73222.8
????,14001211,71750.7
????,14001209,71664.1
????,14001208,71628.3
????,14001207,72220.6
????,14001204,72714.8
????,14001203,72523.8
????,14001202,72099.3
????,14001201,71707.1
????,14001130,72256.9
????,14001127,72261.8
????,14001125,72389
????,14001124,71651.5
????,14001123,72200.1
????,14001120,72160.8
????,14001119,71984.7
????,14001118,71548.7
????,14001117,72016.5
????,14001116,73424.9
????,14001113,72971.6
????,14001112,72847.7
????,14001111,72437.4
????,14001110,71760.4
????,14001109,69840.5
????,14001106,67719.9
????,14001105,65806.9
????,14001104,67189.1
????,14001103,68528.4
????,14001102,70066.6
????,14001029,69417.1
????,14001028,69136.1
????,14001027,71036.3
????,14001026,71356.8
????,14001025,72036.9
????,14001022,72735.1
????,14001021,72739.9
????,14001020,72560.3
????,14001019,72839.6
????,14001018,74549.7
????,14001015,74473.8
????,14001014,74340.8
????,14001013,75199
????,14001012,75368.2
????,14001011,75223.2
????,14001008,76459.4
????,14001007,76860.3
????,14001006,77113.5
????,14001005,75730
????,14001004,75642.9
????,14001001,73556.5
????,14000930,70890.6
????,14000929,69686.1
????,14000928,68879.1
????,14000927,69932.9
????,14000924,69133
????,14000923,69022.2
????,14000922,69096.7
????,14000921,70638.1
????,14000920,72331.2
????,14000917,72546.4
????,14000916,71526.5
????,14000915,71679
????,14000914,72011
????,14000913,71371.4
????,14000910,71365.3
????,14000909,72291.4
????,14000908,72607.9
????,14000907,72870.4
????,14000906,72774.7
????,14000903,74542.4
????,14000902,75294
????,14000901,75558
????,14000830,74202.6
????,14000829,73796.5
????,14000826,75692.6
????,14000825,75823.9
????,14000824,76386.5
????,14000823,78607.4
????,14000822,78412.6
????,14000819,79808.4
????,14000818,79455.6
????,14000817,78383.4
????,14000816,78276.9
????,14000815,79138.2
????,14000812,76585
????,14000811,75273.6
????,14000810,74107.6
????,14000809,72236.2
????,14000808,74456.6
????,14000805,75656.9
????,14000804,74753.5
????,14000803,74500.2
????,14000801,75770.7
????,14000728,77241.6
????,14000727,78648.3
????,14000726,77846.1
????,14000725,77572.8
????,14000724,77427.4
????,14000721,74988.9
????,14000720,76180.5
????,14000719,78541.6
????,14000718,78428.5
????,14000717,78946.4
????,14000714,80452.3
????,14000712,80173.8
????,14000711,79517.2
????,14000710,79443.9
????,14000707,76906.5
????,14000706,76304.4
????,14000704,76151.2
????,14000703,75771.4
????,14000631,73139.4
????,14000630,73085.2
????,14000629,75239.9
????,14000628,74652
????,14000627,76541.6
????,14000624,79336.9
????,14000623,79884.9
????,14000622,78510.1
????,14000621,79262.8
????,14000620,81846.6
????,14000617,81336.9
????,14000616,81093.7
????,14000615,82357.8
????,14000614,82388.1
????,14000613,83064.5
????,14000610,82171.1
????,14000609,81131.2
????,14000608,83022.4
????,14000607,85844.2
????,14000606,85987.3
????,14000603,84625.7
????,14000602,84447.5
????,14000601,82982.2
????,14000531,83362.4
????,14000524,82569.1
????,14000523,81405
????,14000520,81406
????,14000519,79111.2
????,14000518,77944.2
????,14000517,77007.7
????,14000516,76371.1
????,14000513,76301.5
????,14000512,74483.1
????,14000511,73671.6
????,14000510,73879.8
????,14000509,73655.6
????,14000506,71442.4
????,14000505,71051
????,14000504,71761.1
????,14000428,70907.6
????,14000427,70549.1
????,14000426,71329.9
????,14000423,70978.4
????,14000422,71120.8
????,14000421,71196.6
????,14000420,69693.9
????,14000419,68703.6
????,14000416,69785.6
????,14000415,69972.9
????,14000414,68131.1
????,14000413,67475.6
????,14000412,67771.6
????,14000409,68933.8
????,14000408,68593.4
????,14000407,68325.3
????,14000406,68051.7
????,14000405,68108.4
????,14000402,66900.2
????,14000401,65071.6
????,14000331,63712.8
????,14000330,63470.2
????,14000329,63487.3
????,14000326,62447.4
????,14000325,62590.3
????,14000324,62387.6
????,14000323,61591.8
????,14000322,61677.6
????,14000319,62082.7
????,14000318,62622.8
????,14000317,62400.8
????,14000312,61809.2
????,14000311,61117
????,14000310,61536.9
????,14000309,62266.9
????,14000308,60676.7
????,14000305,58261.1
????,14000304,57930.1
????,14000303,57121.9
????,14000302,58036.6
????,14000301,59478.6
????,14000229,61285
????,14000228,62555
????,14000227,62389.9
????,14000226,63394.5
????,14000225,63377.8
????,14000222,61754.5
????,14000221,61320.7
????,14000220,59282.1
????,14000219,58395.1
????,14000218,59663
????,14000215,59696.4
????,14000213,58838.3
????,14000212,59816.3
????,14000211,60801.6
????,14000208,61730.1
????,14000207,61043.3
????,14000206,59418.3
????,14000205,59227.3
????,14000204,60134.9
????,14000201,60530.1
????,14000131,61461.7
????,14000130,61082.8
????,14000129,61634.3
????,14000128,62340.1
????,14000125,63086
????,14000124,63261.9
????,14000123,61591.8
????,14000122,61989.2
????,14000121,62775
????,14000118,63439
????,14000117,64271.2
????,14000116,64434.8
????,14000115,65089
????,14000114,66093.5
????,14000111,66966.9
????,14000110,67766
????,14000108,68072.6
????,14000107,68503.2
????,13991227,68551.8
????,13991226,67104.8
????,13991225,64511.3
????,13991224,63968.1
????,13991223,62919.3
????,13991220,61353.3
????,13991219,61715.1
????,13991218,60845.9
????,13991217,58873.7
????,13991216,58436
????,13991213,59278
????,13991212,60048.4
????,13991211,59769.9
????,13991210,60105
????,13991209,60728.4
????,13991206,61753.5
????,13991205,62159.6
????,13991204,62011.5
????,13991203,62443.9
????,13991202,63155.5
????,13991129,62615.3
????,13991128,63260.9
????,13991127,64202.8
????,13991126,64495.5
????,13991125,63937.2
????,13991121,60842.8
????,13991120,59008.8
????,13991119,56982.4
????,13991118,54558.9
????,13991115,56903.8
????,13991114,59037.3
????,13991113,61282.1
????,13991112,62659.6
????,13991111,62254.4
????,13991108,59658.5
????,13991107,59961.2
????,13991106,60949.2
????,13991105,60289.3
????,13991104,58812
????,13991101,56283.8
????,13991030,53895.7
????,13991029,53163.1
????,13991027,55433.2
????,13991024,57957.5
????,13991023,59917.8
????,13991022,62466.1
????,13991021,63175.7
????,13991020,61842
????,13991017,63889.4
????,13991016,66589.2
????,13991015,68591
????,13991014,67273.5
????,13991013,67056.8
????,13991010,69637.1
????,13991009,70616.4
????,13991008,72332.6
????,13991007,70855.8
????,13991006,71143.9
????,13991003,73573.8
????,13991002,74024.1
????,13991001,73861.7
????,13990930,74499.7
????,13990929,75154.7
????,13990926,73436
????,13990925,74082.8
????,13990924,77486.8
????,13990923,79385.3
????,13990922,80379.8
????,13990919,78994.5
????,13990918,79678.7
????,13990917,79190
????,13990916,79801.9
????,13990915,78226.3
????,13990912,77730.3
????,13990911,78370.9
????,13990910,77987.2
????,13990909,75807
????,13990908,72839.1
????,13990905,71583.1
????,13990904,70392.6
????,13990903,71665.6
